Linux,2.6.32-21-generic,(niuhicore2),	03/29/2011,	_x86_64_	(16,CPU)

12:00:01,AM,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%idle
12:35:01,AM,14,5.47,0.02,0.85,1.35,0.00,0.03,0.24,0.00,92.05
12:35:01,AM,15,3.35,0.01,0.36,0.32,0.00,0.00,0.09,0.00,95.87
12:45:02,AM,all,4.41,0.01,0.58,0.96,0.00,0.01,0.16,0.00,93.87
12:45:02,AM,0,5.61,0.04,0.91,2.06,0.00,0.02,0.13,0.00,91.23
12:45:02,AM,1,5.15,0.01,0.69,1.97,0.00,0.01,0.21,0.00,91.96
12:45:02,AM,2,5.26,0.00,0.70,2.56,0.00,0.05,0.30,0.00,91.11
12:45:02,AM,3,4.35,0.00,0.42,0.48,0.00,0.00,0.12,0.00,94.63
12:45:02,AM,4,6.31,0.02,1.04,3.59,0.00,0.00,0.49,0.00,88.55
12:45:02,AM,5,4.82,0.00,0.53,0.54,0.00,0.00,0.15,0.00,93.96
12:45:02,AM,6,3.61,0.00,0.52,0.52,0.00,0.00,0.12,0.00,95.24
12:45:02,AM,7,3.08,0.00,0.37,0.83,0.00,0.00,0.08,0.00,95.65
12:45:02,AM,8,3.81,0.00,0.49,0.40,0.00,0.00,0.12,0.00,95.17
12:45:02,AM,9,3.63,0.04,0.73,0.47,0.00,0.00,0.09,0.00,95.04
12:45:02,AM,10,3.83,0.01,0.47,0.34,0.00,0.00,0.12,0.00,95.23
12:45:02,AM,11,3.81,0.02,0.36,0.18,0.00,0.00,0.12,0.00,95.51
12:45:02,AM,12,3.45,0.00,0.33,0.02,0.00,0.00,0.11,0.00,96.08
12:45:02,AM,13,4.52,0.03,0.64,0.73,0.00,0.00,0.11,0.00,93.97
12:45:02,AM,14,5.70,0.00,0.61,0.34,0.00,0.00,0.13,0.00,93.21
12:45:02,AM,15,3.63,0.01,0.39,0.34,0.00,0.00,0.12,0.00,95.50
12:55:01,AM,all,4.57,0.01,0.53,0.38,0.00,0.00,0.14,0.00,94.36
12:55:01,AM,0,5.84,0.04,0.71,0.45,0.00,0.01,0.18,0.00,92.77
12:55:01,AM,1,4.85,0.02,0.63,0.06,0.00,0.00,0.18,0.00,94.27
12:55:01,AM,2,5.55,0.00,0.51,0.29,0.00,0.00,0.14,0.00,93.49
12:55:01,AM,3,4.30,0.00,0.40,0.20,0.00,0.00,0.13,0.00,94.96
12:55:01,AM,4,6.15,0.01,0.82,1.51,0.00,0.00,0.25,0.00,91.25
12:55:01,AM,5,4.77,0.00,0.45,0.17,0.00,0.00,0.12,0.00,94.48
12:55:01,AM,6,4.57,0.00,0.38,0.34,0.00,0.00,0.12,0.00,94.59
12:55:01,AM,7,5.05,0.00,0.40,0.13,0.00,0.00,0.17,0.00,94.26
12:55:01,AM,8,3.99,0.01,0.47,0.10,0.00,0.00,0.12,0.00,95.31
12:55:01,AM,9,4.75,0.03,0.75,1.98,0.00,0.03,0.19,0.00,92.26
12:55:01,AM,10,3.38,0.00,0.43,0.25,0.00,0.00,0.09,0.00,95.85
12:55:01,AM,11,3.14,0.01,0.50,0.17,0.00,0.00,0.08,0.00,96.10
12:55:01,AM,12,3.42,0.00,0.38,0.03,0.00,0.00,0.10,0.00,96.07
12:55:01,AM,13,3.71,0.04,0.53,0.15,0.00,0.00,0.12,0.00,95.46
12:55:01,AM,14,6.11,0.01,0.70,0.11,0.00,0.00,0.19,0.00,92.89
12:55:01,AM,15,3.59,0.02,0.46,0.12,0.00,0.00,0.09,0.00,95.73
01:05:03,AM,all,4.25,0.01,0.57,8.13,0.00,0.01,0.14,0.00,86.89
01:05:03,AM,0,6.42,0.04,0.95,18.47,0.00,0.06,0.29,0.00,73.77
01:05:03,AM,1,5.32,0.01,0.61,7.09,0.00,0.01,0.18,0.00,86.78
01:05:03,AM,2,4.46,0.00,0.58,9.22,0.00,0.00,0.12,0.00,85.61
01:05:03,AM,3,4.80,0.00,0.44,7.58,0.00,0.00,0.14,0.00,87.05
01:05:03,AM,4,6.19,0.00,0.95,17.00,0.00,0.00,0.34,0.00,75.52
01:05:03,AM,5,4.40,0.00,0.53,6.03,0.00,0.00,0.10,0.00,88.93
01:05:03,AM,6,3.78,0.00,0.45,9.42,0.00,0.00,0.10,0.00,86.25
01:05:03,AM,7,4.02,0.00,0.37,5.55,0.00,0.00,0.12,0.00,89.94
01:05:03,AM,8,3.47,0.02,0.47,5.18,0.00,0.00,0.10,0.00,90.76
01:05:03,AM,9,4.84,0.03,0.95,15.14,0.00,0.05,0.25,0.00,78.74
01:05:03,AM,10,2.89,0.01,0.68,6.96,0.00,0.00,0.08,0.00,89.38
01:05:03,AM,11,2.92,0.00,0.36,4.49,0.00,0.00,0.07,0.00,92.17
01:05:03,AM,12,3.83,0.00,0.33,0.56,0.00,0.00,0.11,0.00,95.17
01:05:03,AM,13,3.17,0.05,0.55,3.67,0.00,0.00,0.08,0.00,92.48
01:05:03,AM,14,5.02,0.01,0.58,5.86,0.00,0.00,0.12,0.00,88.42
01:05:03,AM,15,2.46,0.01,0.29,7.56,0.00,0.00,0.06,0.00,89.63
01:15:01,AM,all,5.74,0.01,0.70,29.49,0.00,0.01,0.20,0.00,63.85
01:15:01,AM,0,10.17,0.02,1.30,61.01,0.00,0.12,0.79,0.00,26.58
01:15:01,AM,1,6.60,0.01,0.65,26.09,0.00,0.00,0.21,0.00,66.44
01:15:01,AM,2,6.18,0.00,0.58,32.52,0.00,0.00,0.16,0.00,60.55
01:15:01,AM,3,5.19,0.00,0.56,22.88,0.00,0.00,0.12,0.00,71.25
01:15:01,AM,4,9.97,0.02,1.86,63.70,0.00,0.00,0.63,0.00,23.81
01:15:01,AM,5,6.66,0.00,0.78,33.42,0.00,0.00,0.16,0.00,58.97
